timestamp,open,high,low,close,volume
1785574800,63131.6,63140.0,63048.2,63060.9,46.745701
1785578400,63061.0,63119.6,62989.0,63061.4,79.456507
1785582000,63061.6,63092.1,63043.9,63078.9,30.39877588
1785585600,63078.8,63122.7,63078.8,63101.3,34.131099
1785589200,63101.3,63102.5,63053.0,63063.6,26.319135
1785592800,63071.4,63123.6,63067.0,63119.5,48.677247
1785596400,63119.5,63127.4,63004.4,63004.5,36.886912
1785600000,63004.0,63026.4,62872.7,62923.8,114.403329
1785603600,62923.8,62991.1,62657.1,62711.4,233.367691
1785607200,62711.3,62736.1,62272.1,62579.8,599.968417
1785610800,62579.7,62624.8,62461.8,62528.5,192.739585
1785614400,62528.5,62666.6,62490.6,62665.3,103.620081
1785618000,62665.3,62860.9,62658.9,62814.1,170.560419
1785621600,62814.1,62865.9,62799.4,62835.1,48.011524
1785625200,62835.0,62855.3,62770.7,62821.3,62.597824
1785628800,62821.4,62978.9,62813.3,62837.1,115.032575
1785632400,62838.6,63093.7,62838.6,62993.0,101.821501
1785636000,62993.0,63550.0,62957.6,63449.3,481.304842
1785639600,63456.8,63553.4,63381.3,63453.4,176.883058
1785643200,63453.5,63604.9,63453.5,63581.7,68.50096
1785646800,63581.6,63627.6,63415.7,63451.1,129.313503
1785650400,63455.5,63498.4,63434.9,63487.2,39.281437
1785654000,63487.3,63537.4,63475.5,63498.9,78.179855
1785657600,63498.9,63522.6,63168.5,63185.5,209.02496
1785661200,63189.6,63316.5,63089.8,63271.8,148.132385
1785664800,63271.5,63271.5,63129.9,63203.2,115.718524
1785668400,63205.0,63207.0,62995.6,63032.8,143.481362
1785672000,63032.8,63233.0,63032.8,63125.1,145.736713
1785675600,63125.1,63147.0,63012.6,63119.6,98.850852
1785679200,63121.3,63185.2,63064.8,63072.9,69.979952
1785682800,63072.9,63176.7,63052.2,63108.5,65.064762
1785686400,63108.6,63263.3,63073.7,63184.0,96.623317
1785690000,63179.1,63336.5,63156.3,63307.3,71.43422
1785693600,63307.4,63611.1,63294.7,63385.1,178.084855
1785697200,63385.0,63472.7,63327.9,63455.4,56.781877
1785700800,63455.4,63500.0,63403.9,63497.9,42.701999
1785704400,63498.0,63780.8,63483.5,63578.4,211.972001
1785708000,63582.2,63790.0,63374.8,63430.4,330.312742
1785711600,63430.3,63588.0,63334.5,63565.6,190.463084
1785715200,63565.6,63591.2,63207.7,63312.0,295.6892
1785718800,63310.3,63342.7,63108.7,63215.4,268.000682
1785722400,63214.1,63282.0,63098.8,63140.0,126.238376
1785726000,63139.9,63162.0,62780.9,62874.3,210.583147
1785729600,62874.3,63008.1,62776.6,62786.5,177.465588
1785733200,62786.6,62869.3,62752.2,62821.2,225.225309
1785736800,62826.6,62872.7,62618.3,62619.1,206.834507
1785740400,62619.2,62699.6,62555.9,62614.6,317.400533
1785744000,62614.6,62644.8,62300.7,62542.1,325.911297
1785747600,62542.0,62871.1,62528.7,62836.2,236.709891
1785751200,62835.2,62862.3,62617.3,62740.7,151.329356
1785754800,62740.8,62773.6,62542.7,62553.6,153.068652
1785758400,62562.1,62799.6,62447.1,62703.5,260.598565
1785762000,62703.2,63392.3,62568.5,63353.1,599.577766
1785765600,63353.0,63994.6,63138.9,63971.1,1230.866111
1785769200,63971.0,63990.2,63649.6,63693.7,836.570004
1785772800,63693.8,63942.3,63667.5,63776.5,401.462382
1785776400,63776.6,64061.1,63720.5,63904.7,400.860519
1785780000,63904.8,64000.5,63769.5,63870.2,224.992223
1785783600,63870.3,64079.6,63844.4,63866.6,271.711384
1785787200,63870.9,64025.5,63768.1,63783.6,174.912321
1785790800,63783.6,63791.9,63553.4,63587.6,179.919017
1785794400,63587.6,63675.2,63391.2,63613.6,199.045917
1785798000,63611.2,63619.2,63467.7,63523.0,131.151918
1785801600,63526.7,63577.7,63326.8,63359.3,285.674536
1785805200,63363.6,63931.1,63363.5,63848.2,417.123808
1785808800,63848.3,63971.4,63689.1,63822.1,207.472114
1785812400,63822.1,63856.1,63657.9,63800.8,107.610009
1785816000,63800.7,64240.2,63761.4,64034.6,309.676875
1785819600,64034.6,64056.6,63797.7,63814.5,286.824868
1785823200,63814.6,63886.6,63660.8,63675.4,122.962827
1785826800,63675.5,63756.5,63506.4,63688.2,217.944565
1785830400,63688.2,63741.8,63563.1,63586.6,117.90368
1785834000,63586.6,63607.4,63519.1,63592.2,150.67039
1785837600,63592.2,63837.2,63455.9,63765.2,193.3389616
1785841200,63769.9,63946.4,63709.9,63923.7,151.395972
1785844800,63923.7,64063.9,63791.6,63906.9,209.236311
1785848400,63907.0,64098.2,63656.8,63687.9,453.328993
1785852000,63687.9,64193.5,63611.3,64128.7,424.065102
1785855600,64128.8,64236.6,63814.7,64124.9,342.089366
1785859200,64124.9,64132.8,63904.9,63953.1,161.925866
1785862800,63953.2,64183.3,63898.7,63975.9,214.668912
1785866400,63975.8,64406.7,63971.9,64310.0,235.16804
1785870000,64310.4,64415.1,64208.6,64226.8,176.161743
1785873600,64232.3,64423.7,64005.7,64345.4,238.559809
1785877200,64345.4,64401.9,64177.0,64197.9,95.260653
1785880800,64198.0,64293.1,64142.1,64266.3,73.040822
1785884400,64266.4,64539.3,64080.6,64106.9,265.233619
1785888000,64106.6,64191.4,63985.7,63996.0,275.376223
1785891600,63996.0,64346.3,63953.9,64334.8,232.524999
